Category,Product Name,Quanaity,Price,Total Price
Puce,Sambuca - Opal Nera,1,145.24,145.24
Red,Scallops 60/80 Iqf,4,465.89,1863.56
Violet,"Pepper - White, Whole",8,481,3848
Mauv,Pork - Ground,14,486.06,6804.84
Maroon,Creme De Banane - Marie,15,266.59,3998.85
Aquamarine,Crab Brie In Phyllo,11,15.55,171.05
Indigo,Goldschalger,13,416,5408
Orange,Soup - Campbells Beef Noodle,11,59.29,652.19
Green,Cheese - St. Andre,3,406.86,1220.58
Blue,Longos - Lasagna Beef,13,45.47,591.11
Maroon,Bagel - Whole White Sesame,7,51.02,357.14
Khaki,Beets - Pickled,2,30.07,60.14
Yellow,"Salmon - Smoked, Sliced",7,441.66,3091.62
Fuscia,Pork - Bacon Cooked Slcd,4,299.99,1199.96
Yellow,"Beef - Chuck, Boneless",3,170.82,512.46
Fuscia,Spice - Chili Powder Mexican,3,204.71,614.13
Aquamarine,Versatainer Nc - 8288,8,420.25,3362
Red,Spinach - Baby,12,199.53,2394.36
Blue,The Pop Shoppe - Black Cherry,12,298.24,3578.88
Turquoise,Bread - Italian Corn Meal Poly,4,162.39,649.56
Goldenrod,Lemon Balm - Fresh,9,454.73,4092.57
Violet,Capers - Ox Eye Daisy,14,382.1,5349.4
Green,Table Cloth 54x54 White,8,24.39,195.12
Blue,Beer - Sleemans Cream Ale,9,314.19,2827.71
Aquamarine,"Rum - Light, Captain Morgan",12,391.55,4698.6
Red,Pastry - Baked Scones - Mini,1,108.62,108.62
Teal,Dried Figs,8,368.95,2951.6
Goldenrod,Flour - Teff,12,281.13,3373.56
Purple,V8 - Tropical Blend,4,366.63,1466.52
Turquoise,Longos - Assorted Sandwich,7,346,2422
Yellow,Chivas Regal - 12 Year Old,15,25.47,382.05
Yellow,Coconut Milk - Unsweetened,5,200.09,1000.45
Yellow,Table Cloth 91x91 Colour,14,329.81,4617.34
Green,Cheese - Mascarpone,10,162.6,1626
Purple,Bread - Triangle White,9,68.96,620.64
Red,Wine - German Riesling,2,374.51,749.02
Goldenrod,Pop - Club Soda Can,2,13.45,26.9
Fuscia,Syrup - Pancake,15,411,6165
Puce,Wine - Coteaux Du Tricastin Ac,9,465.43,4188.87
Violet,Table Cloth 53x69 White,13,442.77,5756.01
Maroon,Gherkin - Sour,10,373.86,3738.6
Turquoise,Wine - Cousino Macul Antiguas,4,480.8,1923.2
Maroon,Salmon Steak - Cohoe 8 Oz,4,445.28,1781.12
Khaki,Lemon Balm - Fresh,5,390.67,1953.35
Pink,Wine - Ice Wine,7,409.51,2866.57
Blue,Prunes - Pitted,11,278.72,3065.92
Crimson,Dc - Frozen Momji,3,29.11,87.33
Orange,"Chicken - Breast, 5 - 7 Oz",5,126.92,634.6
Goldenrod,Lemon Balm - Fresh,12,161.51,1938.12
Mauv,"Bread - Roll, Calabrese",7,376.99,2638.93
Orange,Appetizer - Escargot Puff,8,75.85,606.8
Yellow,Wine - Prosecco Valdobiaddene,5,316.61,1583.05
Green,Wine - Clavet Saint Emilion,10,198.33,1983.3
Khaki,Truffle Cups - Red,15,254.69,3820.35
Khaki,Piping - Bags Quizna,15,384.17,5762.55
Orange,Bagelers,7,234.4,1640.8
Crimson,Coffee - Almond Amaretto,11,15.94,175.34
Red,"Tart Shells - Sweet, 2",15,7.31,109.65
Fuscia,Cheese - Mascarpone,15,375.17,5627.55
Blue,Soup - Base Broth Chix,3,141.11,423.33
Turquoise,Potatoes - Idaho 100 Count,11,276.03,3036.33
Indigo,Lettuce - Lambs Mash,1,454.09,454.09
Mauv,Goulash Seasoning,15,212.66,3189.9
Orange,"Lobster - Baby, Boiled",1,116.28,116.28
Green,"Mop Head - Cotton, 24 Oz",9,240.01,2160.09
Mauv,"Yogurt - Banana, 175 Gr",9,138.41,1245.69
Teal,Bulgar,8,355.08,2840.64
Indigo,Paper Cocktail Umberlla 80 - 180,3,241.82,725.46
Khaki,"Oregano - Dry, Rubbed",11,488.28,5371.08
Turquoise,Longos - Grilled Chicken With,8,421.84,3374.72
Maroon,Potatoes - Idaho 100 Count,13,243.36,3163.68
Pink,"Bread - Pumpernickle, Rounds",6,82.63,495.78
Green,Sage - Ground,14,296.69,4153.66
Teal,Broom And Broom Rack White,4,377.74,1510.96
Goldenrod,Cabbage - Red,14,351.12,4915.68
Maroon,Star Fruit,10,392.17,3921.7
Fuscia,Oil - Grapeseed Oil,10,471.24,4712.4
Aquamarine,Wine - Winzer Krems Gruner,10,294.46,2944.6
Crimson,Squash - Acorn,4,388.57,1554.28
Khaki,"Lid - Translucent, 3.5 And 6 Oz",8,314.41,2515.28
Pink,Vinegar - Cider,8,499.59,3996.72
Puce,Wine - Savigny - Les - Beaune,8,48.59,388.72
Orange,Tea - Herbal - 6 Asst,9,446.61,4019.49
Crimson,"Juice - Apple, 500 Ml",8,447.36,3578.88
Khaki,Bag Clear 10 Lb,1,208.65,208.65
Violet,Fond - Chocolate,4,129.81,519.24
Turquoise,Pasta - Canelloni,7,158.26,1107.82
Teal,Sword Pick Asst,15,405.97,6089.55
Green,Irish Cream - Butterscotch,4,183.41,733.64
Maroon,"Pork - Back, Long Cut, Boneless",1,498.79,498.79
Purple,Sauce - Oyster,6,440.59,2643.54
Fuscia,"Nut - Pecan, Pieces",8,137.55,1100.4
Red,Corn - On The Cob,12,273.4,3280.8
Pink,"Cheese - Romano, Grated",15,18.22,273.3
Khaki,Lettuce - Iceberg,5,248.4,1242
Teal,Muffin Batt - Choc Chk,13,304.15,3953.95
Teal,"Brandy - Orange, Mc Guiness",15,354.58,5318.7
Indigo,Puree - Passion Fruit,4,272.72,1090.88
Orange,Oxtail - Cut,14,80.97,1133.58
Puce,"Pasta - Rotini, Colour, Dry",3,195.74,587.22
Turquoise,Garbage Bag - Clear,6,19.06,114.36
Blue,Beef - Ground Lean Fresh,2,289.6,579.2
Orange,Mangoes,1,425.49,425.49
Purple,Beets - Golden,12,62.15,745.8
Puce,Bar Nature Valley,1,335.25,335.25
Puce,Sole - Iqf,11,148.61,1634.71
Crimson,Gooseberry,15,63.07,946.05
Indigo,Bar Mix - Lime,12,343.97,4127.64
Green,Basil - Thai,10,421.74,4217.4
Green,"Pork - Tenderloin, Frozen",4,105.5,422
Puce,Muffin Batt - Choc Chk,7,436.3,3054.1
Goldenrod,Vinegar - Rice,2,338.63,677.26
Yellow,Cookies Oatmeal Raisin,6,353.86,2123.16
Green,Poppy Seed,9,368.05,3312.45
Violet,Bread Bowl Plain,14,300.58,4208.12
Fuscia,"Coconut - Shredded, Sweet",4,366.44,1465.76
Aquamarine,"Vodka - Lemon, Absolut",7,35.57,248.99
